"";"we.ep";"we.eBH";"wi.ep";"wi.eBH";"rab.all";"rab.win.With_mint";"rab.win.Without_mint";"diff.btw";"diff.win";"effect";"effect.low";"effect.high";"overlap"
"Otu0001";0,0496868575964498;0,513705070326642;0,0887207232106129;0,546595549622713;8,053719305899;8,32506424524008;7,07824351457056;-2,14752582028177;3,4033578639478;-0,590415878269853;-11,4706157676143;1,95356446203285;0,252604187237636
"Otu0002";0,0325652024692887;0,467605134391551;0,0243953427087618;0,386663791426016;6,33786611660025;8,40358674480315;4,87376744757098;-2,85869288083155;3,53319993689556;-0,712120794209542;-11,4321805539706;1,32051081867487;0,186470110446131
"Otu0003";0,483151859764844;0,832942230271869;0,362895606232003;0,787361949634705;3,57365505058905;3,00353056559043;4,33129161942061;1,66568597921809;4,61235581518519;0,309284714512983;-3,08333663056384;5,87385435116517;0,356461414836123
"Otu0004";0,0134064870623795;0,397175239231415;0,0193633342760181;0,369246249236862;5,71514808799718;5,00596504109347;7,13015083088683;3,88102107986118;4,28944199539055;0,782325870616109;-0,680026724718422;12,113743789629;0,181423644786603
"Otu0005";0,300513567397907;0,756577414788197;0,613767482517482;0,899892784214575;7,68556005976473;7,67497047370931;7,69658307995811;-0,414481109754635;1,65895937430182;-0,208776153907283;-6,45549189425937;2,67240723651222;0,420138894034917
"Otu0006";0,0175119835325705;0,419561337187115;0,0211703966988893;0,376289654458611;8,12011925107714;10,0886964404805;6,98438893210409;-2,56759194118461;2,56087188394164;-0,918385541948559;-11,3303765980764;2,15951702425206;0,17621531279264
"Otu0007";0,731852815278659;0,925747785656494;0,807258940508021;0,956561157223439;5,90329389033746;6,52945216981131;5,40232762781773;0,801999423248524;5,99805514155712;0,125998882126794;-3,68764065619582;4,56016963415707;0,457068519623528
"Otu0008";0,123158238919955;0,628577697788925;0,0875962502570958;0,545038327044777;10,2945330782969;11,851706601136;10,0310836290536;-1,49785418949673;1,44508436505721;-0,712226402607768;-9,6978604701572;4,18557664125895;0,250000020931112
"Otu0009";0,165892147032675;0,650535109012825;0,089877654514603;0,543000878348248;4,01087222751216;2,2571310775168;5,85970025604484;3,10838138252922;6,1014133397762;0,509148147922358;-2,91435240575732;7,69062344604797;0,245659743768261
"Otu0010";0,492232064106698;0,823805814385876;0,45273389294529;0,813651734003908;2,27542451902422;2,75922435978176;1,92311712203129;-1,13341394923737;3,46329194584857;-0,27302357329224;-5,19786781893827;3,93075433656028;0,374131952882874
"Otu0011";0,00706067004360906;0,36812635819327;0,0123283885232415;0,343007789356228;7,65142478656232;10,0285814225754;6,29175185482772;-2,72687062575437;2,69315635301793;-1,05836645655517;-14,0570818743215;1,13842498158263;0,148308803389856
"Otu0012";0,351490349135739;0,780365032183206;0,464682422357055;0,845948428327831;6,94106082405557;2,54475312166077;7,20199917760943;3,92843116805049;7,24362144255763;0,471404792981796;-5,97097260949849;19,110944650704;0,39496528467775
"Otu0013";0,880626673012652;0,970320917694024;0,918046521493213;0,981986342944753;7,29481779131335;7,50667138386355;7,13045073059631;0,0684922148681082;2,5812689466859;0,0253530218775423;-4,03892528459847;4,43168528625513;0,486979167484844
"Otu0014";0,206764970331511;0,694597907385596;0,505655305172768;0,861299823520656;5,09178428847388;3,88360136665164;5,1952175831718;1,190849239741;3,28234057394825;0,297851379860119;-3,02839888955872;9,00171229018688;0,395490032869525
"Otu0015";0,197585387951279;0,647629543747725;0,110448696524064;0,550750739343862;2,45288443733944;1,16614001955222;3,78175700931404;2,33232382197194;3,75578889129182;0,569712203722485;-2,47327857466046;7,68284430233512;0,25932352353932
"Otu0016";0,102706808449084;0,600550418349791;0,0723782651172357;0,50920480345215;9,87548227631436;10,2379304902806;9,6353027320483;-0,773491219183673;1,24778059326619;-0,595241748687833;-6,65892215263365;2,6465261821223;0,236773656824936
