"";"we.ep";"we.eBH";"wi.ep";"wi.eBH";"rab.all";"rab.win.With_mint";"rab.win.Without_mint";"diff.btw";"diff.win";"effect";"effect.low";"effect.high";"overlap"
"Otu0029";0,247847234298336;0,76910161715227;0,2496382982826;0,74213402017504;2,04217913048894;0,945054746182803;2,66479679159972;1,91364470776557;4,28270802325866;0,419463484279566;-2,594183429344;5,17989746133351;0,308759771197266
"Otu0030";0,152160380892925;0,73373461463105;0,0775889551624846;0,645218912043708;7,95600525885158;9,13451525210006;6,875158532314;-1,82947548194139;3,10607084764999;-0,561780593774359;-8,48972985497814;3,49611654545603;0,24284477473576
"Otu0031";0,169578863228982;0,74079097991371;0,134616991464418;0,683380405234341;8,65653013483048;9,02344131057329;7,87498724358888;-1,18703178644926;2,42105279964033;-0,452947087434589;-7,37182796053803;2,85217794373565;0,2818733906945
"Otu0032";0,169190769506827;0,72697501105927;0,126439415364048;0,659826063587317;1,49104304841402;0,483874404263444;3,76677073832303;2,78518582631593;4,61793587093771;0,562067999298926;-2,87011221895355;7,6586764103849;0,240242867054733
"Otu0033";0,443704236242101;0,843162851417515;0,46322484959893;0,835524685801402;0,653582184140026;0,225238363811507;1,09664494100577;0,972038422224506;3,84364492243471;0,205654645804494;-3,24937731908861;4,69319495749004;0,384548618768978
"Otu0034";0,074291644341934;0,698557348295902;0,0805547164232826;0,64587963446755;8,2789776154084;8,76225432485506;6,8081527870482;-2,01595939119247;3,09621180356225;-0,627047903188549;-7,99901908910157;2,41396509200298;0,244791688337969
"Otu0035";0,314914947849017;0,795926221745659;0,247554215086384;0,751832425396111;2,91138167647924;1,49304352633511;4,45534298122692;2,03675874010092;4,58421927033087;0,390802957993086;-3,63968518046501;8,68300355615303;0,322916679381151
"Otu0036";0,089477468322244;0,691426727854416;0,0746821652612094;0,625165786333928;3,65944953222091;1,21792162275752;4,43715667742586;2,75116992516027;4,04553704996833;0,576985663064176;-2,00478556262711;9,21277056008172;0,226562524496179
"Otu0037";0,323191214193255;0,800147631033583;0,201399083453311;0,727433252007191;3,31568562487264;2,18225454907693;4,41520941091235;1,62195863012084;4,45257366911373;0,33674226996952;-3,54472066135846;6,92354727910356;0,313096284217406
"Otu0038";0,551789054483568;0,877849300408498;0,58751687191485;0,886335923058805;1,10023424800027;0,604296911011148;1,82438696445542;0,832510902164388;5,07647873033916;0,1499529701183;-3,35484557385175;4,44571550218269;0,424978322243789
"Otu0039";0,34973724311999;0,808454787999154;0,321811850832991;0,779270839703167;1,63486975975449;0,86265714906184;2,63044682961031;1,69580546991815;4,58710661198137;0,327078210507176;-2,5897421589957;5,28702174855344;0,328707731159044
"Otu0040";0,55836919520213;0,88499249790964;0,64065536944673;0,912105288319893;3,33922627396067;2,38427386669445;4,58858308034159;0,717301752700967;5,14836506980842;0,119939834015199;-3,23894149861056;4,78380024575813;0,42621528251411
"Otu0041";0,212485114833263;0,760689382456971;0,208758934080625;0,736351476762636;7,53154807607086;8,21171322212833;6,52936142571578;-1,43441660846072;3,06654893370386;-0,452819924623567;-6,03799249388532;2,32609677968878;0,321180568431078
"Otu0042";0,498926173669416;0,859744044229353;0,531804523601399;0,858904198144142;-0,283504222561125;-0,0471481881726854;-0,498383846229483;-0,441752966563278;4,15754005747801;-0,089294297189392;-5,45033034385114;3,783671203623;0,460069446967912
