taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0123;0;FALSE;FALSE;FALSE;FALSE
Otu0124;0;FALSE;FALSE;FALSE;FALSE
Otu0125;0;FALSE;FALSE;FALSE;FALSE
Otu0127;0;FALSE;FALSE;FALSE;FALSE
Otu0128;0;FALSE;FALSE;FALSE;FALSE
Otu0130;0;FALSE;FALSE;FALSE;FALSE
Otu0131;0;FALSE;FALSE;FALSE;FALSE
Otu0133;0;FALSE;FALSE;FALSE;FALSE
Otu0134;0;FALSE;FALSE;FALSE;FALSE
Otu0136;0;FALSE;FALSE;FALSE;FALSE
Otu0138;0;FALSE;FALSE;FALSE;FALSE
Otu0139;0;FALSE;FALSE;FALSE;FALSE
Otu0140;0;FALSE;FALSE;FALSE;FALSE
Otu0141;0;FALSE;FALSE;FALSE;FALSE
Otu0142;0;FALSE;FALSE;FALSE;FALSE
Otu0143;0;FALSE;FALSE;FALSE;FALSE
Otu0144;0;FALSE;FALSE;FALSE;FALSE
Otu0145;0;FALSE;FALSE;FALSE;FALSE
Otu0146;0;FALSE;FALSE;FALSE;FALSE
Otu0148;0;FALSE;FALSE;FALSE;FALSE
Otu0149;Inf;TRUE;TRUE;TRUE;TRUE
Otu0150;0;FALSE;FALSE;FALSE;FALSE
Otu0151;0;FALSE;FALSE;FALSE;FALSE
Otu0152;0;FALSE;FALSE;FALSE;FALSE
Otu0153;0;FALSE;FALSE;FALSE;FALSE
Otu0154;0;FALSE;FALSE;FALSE;FALSE
Otu0156;0;FALSE;FALSE;FALSE;FALSE
Otu0157;0;FALSE;FALSE;FALSE;FALSE
Otu0158;0;FALSE;FALSE;FALSE;FALSE
Otu0159;0;FALSE;FALSE;FALSE;FALSE
Otu0160;0;FALSE;FALSE;FALSE;FALSE
Otu0161;Inf;TRUE;TRUE;TRUE;TRUE
Otu0164;0;FALSE;FALSE;FALSE;FALSE
Otu0167;0;FALSE;FALSE;FALSE;FALSE
Otu0168;0;FALSE;FALSE;FALSE;FALSE
Otu0169;0;FALSE;FALSE;FALSE;FALSE
Otu0170;0;FALSE;FALSE;FALSE;FALSE
Otu0171;0;FALSE;FALSE;FALSE;FALSE
Otu0172;0;FALSE;FALSE;FALSE;FALSE
Otu0173;0;FALSE;FALSE;FALSE;FALSE
Otu0174;0;FALSE;FALSE;FALSE;FALSE
Otu0175;0;FALSE;FALSE;FALSE;FALSE
Otu0176;Inf;TRUE;TRUE;TRUE;TRUE
Otu0177;0;FALSE;FALSE;FALSE;FALSE
Otu0178;0;FALSE;FALSE;FALSE;FALSE
Otu0181;0;FALSE;FALSE;FALSE;FALSE
Otu0183;0;FALSE;FALSE;FALSE;FALSE
Otu0184;0;FALSE;FALSE;FALSE;FALSE
Otu0185;0;FALSE;FALSE;FALSE;FALSE
Otu0187;0;FALSE;FALSE;FALSE;FALSE
Otu0188;0;FALSE;FALSE;FALSE;FALSE
Otu0189;Inf;TRUE;TRUE;TRUE;TRUE
Otu0190;0;FALSE;FALSE;FALSE;FALSE
Otu0191;0;FALSE;FALSE;FALSE;FALSE
Otu0192;0;FALSE;FALSE;FALSE;FALSE
Otu0195;0;FALSE;FALSE;FALSE;FALSE
Otu0196;0;FALSE;FALSE;FALSE;FALSE
Otu0197;0;FALSE;FALSE;FALSE;FALSE
Otu0198;0;FALSE;FALSE;FALSE;FALSE
Otu0200;0;FALSE;FALSE;FALSE;FALSE
Otu0201;0;FALSE;FALSE;FALSE;FALSE
Otu0202;0;FALSE;FALSE;FALSE;FALSE
Otu0205;0;FALSE;FALSE;FALSE;FALSE
Otu0207;0;FALSE;FALSE;FALSE;FALSE
Otu0209;0;FALSE;FALSE;FALSE;FALSE
Otu0210;0;FALSE;FALSE;FALSE;FALSE
Otu0213;Inf;TRUE;TRUE;TRUE;TRUE
Otu0214;0;FALSE;FALSE;FALSE;FALSE
Otu0215;0;FALSE;FALSE;FALSE;FALSE
Otu0216;0;FALSE;FALSE;FALSE;FALSE
Otu0217;Inf;TRUE;TRUE;TRUE;TRUE
Otu0219;Inf;TRUE;TRUE;TRUE;TRUE
Otu0221;0;FALSE;FALSE;FALSE;FALSE
Otu0222;0;FALSE;FALSE;FALSE;FALSE
Otu0223;0;FALSE;FALSE;FALSE;FALSE
Otu0225;0;FALSE;FALSE;FALSE;FALSE
Otu0226;Inf;TRUE;TRUE;TRUE;TRUE
Otu0227;0;FALSE;FALSE;FALSE;FALSE
Otu0228;0;FALSE;FALSE;FALSE;FALSE
Otu0229;0;FALSE;FALSE;FALSE;FALSE
Otu0231;0;FALSE;FALSE;FALSE;FALSE
Otu0232;0;FALSE;FALSE;FALSE;FALSE
Otu0233;Inf;TRUE;TRUE;TRUE;TRUE
Otu0236;0;FALSE;FALSE;FALSE;FALSE
Otu0237;0;FALSE;FALSE;FALSE;FALSE
Otu0238;0;FALSE;FALSE;FALSE;FALSE
Otu0239;0;FALSE;FALSE;FALSE;FALSE
Otu0240;Inf;TRUE;TRUE;TRUE;TRUE
Otu0241;0;FALSE;FALSE;FALSE;FALSE
Otu0242;0;FALSE;FALSE;FALSE;FALSE
Otu0244;0;FALSE;FALSE;FALSE;FALSE
Otu0246;0;FALSE;FALSE;FALSE;FALSE
Otu0247;0;FALSE;FALSE;FALSE;FALSE
Otu0248;0;FALSE;FALSE;FALSE;FALSE
Otu0250;Inf;TRUE;TRUE;TRUE;TRUE
Otu0252;0;FALSE;FALSE;FALSE;FALSE
Otu0254;0;FALSE;FALSE;FALSE;FALSE
Otu0255;0;FALSE;FALSE;FALSE;FALSE
Otu0258;0;FALSE;FALSE;FALSE;FALSE
Otu0261;0;FALSE;FALSE;FALSE;FALSE
Otu0263;Inf;TRUE;TRUE;TRUE;TRUE
Otu0265;Inf;TRUE;TRUE;TRUE;TRUE
Otu0267;0;FALSE;FALSE;FALSE;FALSE
Otu0268;Inf;TRUE;TRUE;TRUE;TRUE
Otu0269;0;FALSE;FALSE;FALSE;FALSE
Otu0271;0;FALSE;FALSE;FALSE;FALSE
Otu0273;0;FALSE;FALSE;FALSE;FALSE
Otu0276;0;FALSE;FALSE;FALSE;FALSE
Otu0278;Inf;TRUE;TRUE;TRUE;TRUE
Otu0279;0;FALSE;FALSE;FALSE;FALSE
Otu0280;0;FALSE;FALSE;FALSE;FALSE
Otu0281;0;FALSE;FALSE;FALSE;FALSE
Otu0282;0;FALSE;FALSE;FALSE;FALSE
Otu0283;Inf;TRUE;TRUE;TRUE;TRUE
Otu0286;0;FALSE;FALSE;FALSE;FALSE
Otu0287;0;FALSE;FALSE;FALSE;FALSE
Otu0289;Inf;TRUE;TRUE;TRUE;TRUE
Otu0293;0;FALSE;FALSE;FALSE;FALSE
Otu0294;0;FALSE;FALSE;FALSE;FALSE
Otu0295;Inf;TRUE;TRUE;TRUE;TRUE
Otu0296;0;FALSE;FALSE;FALSE;FALSE
Otu0297;0;FALSE;FALSE;FALSE;FALSE
