"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"Otu0001";5,30811668118334;0,9838463510444;1,56845681728255;0,62727028261382;0,530482079719423;0,998932861296266
"Otu0002";131,091902512779;1,58522619070933;1,32633206159734;1,19519555970034;0,232010632995809;0,998932861296266
"Otu0003";73,3490707634756;-2,78007867183833;1,05444725980195;-2,63652700122763;0,00837595338298987;0,998932861296266
"Otu0004";19,9133347442151;0,275470062834789;1,43572606307714;0,19186812158608;0,847845508763745;0,998932861296266
"Otu0005";69,1258779917007;0,413436104701294;1,11023111941885;0,372387422285288;0,709604417211227;0,998932861296266
"Otu0006";194,668774321641;-0,182649925447373;0,706308627150565;-0,258597896763956;0,79594550620127;0,998932861296266
"Otu0007";25,5685101077453;0,00866253246663263;1,41753133725721;0,00611099891688732;0,995124158660638;0,998932861296266
"Otu0008";13,9342805214336;-0,65539170976247;1,3548302307615;-0,483744527455736;0,628567188029836;0,998932861296266
"Otu0009";54,7140228638197;-1,26572725959173;1,51559812631728;-0,835133824470539;0,403642364005598;0,998932861296266
"Otu0010";568,906135770108;-0,0376055341144456;1,1297376904046;-0,0332869607111875;0,973445751843791;0,998932861296266
"Otu0011";129,740472338726;0,299936641480186;0,685746187479483;0,437387253413145;0,661830526660551;0,998932861296266
"Otu0012";87,7423859070867;-2,24423508555962;1,72338608556304;-1,30222421102258;0,192839751028316;0,998932861296266
"Otu0013";47,4553378027743;0,315290142726042;1,47874003587596;0,21321539626759;0,831158959884033;0,998932861296266
"Otu0014";92,5585490184243;0,781448027553824;1,52561547548533;0,512218209706631;0,608498300080062;0,998932861296266
"Otu0015";2,02024167201039;1,19233229300585;2,13213572826398;0,559219695631979;0,576011792984456;0,998932861296266
"Otu0016";9,31783894682427;-0,713035276920862;1,44468251740787;-0,493558458920255;0,621618044590449;0,998932861296266
"Otu0017";86,6301777219683;0,707486178874369;1,63166306504112;0,433598206659497;0,664580237274685;0,998932861296266
"Otu0018";1,60879227675877;-3,52372763866177;2,4367375092916;-1,44608421105077;0,148153583655253;0,998932861296266
"Otu0019";23,7509695871418;0,725993939867256;1,50287412768135;0,483070355990042;0,629045781596878;0,998932861296266
"Otu0020";233,602980981652;-0,268171906490303;1,13813246420655;-0,235624512017817;0,813724051089587;0,998932861296266
"Otu0021";5,78323771322687;0,00220870156287602;1,21899684629618;0,00181190096560706;0,998554312984867;0,998932861296266
"Otu0022";1,00783632317933;-3,06986929943024;2,47326619381151;-1,24122074167007;0,21452421453671;0,998932861296266
"Otu0024";3,52959057479265;3,55933189111236;2,03899842511056;1,74562758228681;0,0808756861830439;0,998932861296266
"Otu0026";16,8743207698825;1,59160090435214;1,59559064171765;0,997499523210278;0,31852210511617;0,998932861296266
"Otu0027";45,4765615552827;0,303276462413995;0,75404185708685;0,402201097410782;0,687536034656034;0,998932861296266
"Otu0028";17,0398217704411;0,427613750373915;1,66292579330941;0,257145419293134;0,797066516541647;0,998932861296266
"Otu0029";7,4806307536743;-0,926579885026324;1,43128334765605;-0,647376975735618;0,517387993546033;0,998932861296266
"Otu0030";42,2396715060262;0,578682751500461;0,73248626725938;0,790025393466583;0,42951293849959;0,998932861296266
"Otu0031";43,094487551031;-0,0951391760685507;0,771014573832624;-0,123394783052705;0,901794488024822;0,998932861296266
"Otu0032";7,81982434438479;-0,282318292284268;2,02239494805673;-0,139596023296805;0,888979182805369;0,998932861296266
"Otu0033";1,19605375720662;0,124212155332569;2,19381664627469;0,0566192054124;0,954848535378407;0,998932861296266
"Otu0034";38,0713259050865;0,326758764282589;0,744369961643452;0,438973603342559;0,660680663144019;0,998932861296266
"Otu0035";8,78562619312871;1,65039973788203;1,98643132980464;0,830836542456437;0,406065975999735;0,998932861296266
"Otu0036";6,45890211188768;0,35399985986323;1,76439246901098;0,200635553642815;0,840983555527263;0,998932861296266
"Otu0037";9,23188897625399;1,3590725795236;1,73412386473381;0,783722897286932;0,433202724015688;0,998932861296266
"Otu0038";5,14409275084579;-1,45577025025858;2,22299840531766;-0,654867878796592;0,512552822755655;0,998932861296266
"Otu0039";6,75260725599361;0,172340833598032;1,79911732401595;0,0957918815507468;0,923685865292329;0,998932861296266
"Otu0040";14,0482655760121;0,469097606813108;1,6823784337622;0,278830016718709;0,780375277625481;0,998932861296266
"Otu0041";20,2376038170971;0,081975311140813;0,763796172814748;0,107326161165114;0,914530230799476;0,998932861296266
"Otu0042";1,13142223144713;-1,0689250211183;2,17687327415955;-0,491036861817781;0,623400376244338;0,998932861296266
"Otu0043";2,27848662133408;-0,739310073478027;2,40004569085438;-0,308039999528027;0,758051895972741;0,998932861296266
"Otu0044";4,60257051846287;0,227324399780459;1,56809438410079;0,144968569548711;0,88473568746826;0,998932861296266
"Otu0046";23,0345711500318;-1,85178874718887;1,79532612949167;-1,03144978328432;0,302329945517332;0,998932861296266
"Otu0048";0,402186180955769;0,467289677125715;2,97175390887738;0,157243732642129;0,875052763309557;0,998932861296266
"Otu0049";3,59452075580517;-0,652663716942021;2,09126299072878;-0,312090693440032;0,754971599121523;0,998932861296266
"Otu0050";11,2429989582793;0,440310443831061;2,06631229396612;0,213089979243128;0,831256780562682;0,998932861296266
"Otu0051";1,24245915938906;-0,476870921683012;2,37288014307759;-0,200967134001348;0,840724273016544;0,998932861296266
"Otu0052";0,470276126767053;-1,28248746888034;2,2610873576211;-0,567199433740432;0,570578692724209;0,998932861296266
"Otu0053";0,610971075378262;-2,69176886422831;2,99644322727483;-0,898321329677382;0,369014264267656;0,998932861296266
"Otu0054";2,62759014390816;-0,63375128775289;2,37961358224452;-0,266325294359396;0,789988694257978;0,998932861296266
"Otu0055";2,4580900726462;-0,505792963369858;2,16237926363878;-0,233905759213917;0,815058142021993;0,998932861296266
"Otu0056";22,6521114766081;-0,485461162470906;0,86207546563617;-0,563130702383067;0,573345886269005;0,998932861296266
"Otu0057";6,77262253392444;-1,09717644711879;2,11869522414927;-0,517854779022947;0,604559595105423;0,998932861296266
"Otu0058";0,974155129818716;-2,10153025004175;2,12000743601067;-0,991284376811576;0,321546739546246;0,998932861296266
"Otu0059";4,83659636877254;0,123336668411211;1,87576076341367;0,0657528778812665;0,947574573002146;0,998932861296266
"Otu0060";11,2907177125266;0,336744228653935;2,09197756454778;0,160969330819151;0,872117556063257;0,998932861296266
"Otu0061";5,10107208817591;0,0377262958990417;1,33601516303393;0,0282379249449309;0,977472389542968;0,998932861296266
"Otu0062";5,4008601691813;0,733643730879175;1,70814953817342;0,429496197191075;0,667562160741523;0,998932861296266
"Otu0063";1,65831069242044;-1,27506420441782;2,55186916437125;-0,499658925394781;0,617315259011367;0,998932861296266
"Otu0064";42,1286909043399;-1,85889425499603;1,32835230079938;-1,39939852844564;0,161693507934192;0,998932861296266
"Otu0065";3,67740609129348;-0,135765602823654;2,25171472696285;-0,0602943175696049;0,951921227636521;0,998932861296266
"Otu0066";1,87927322904586;-3,69039542383856;1,98941391693796;-1,85501639071606;0,0635938860036145;0,998932861296266
"Otu0067";1,35545018720511;-3,2902804113876;2,42344668983741;-1,35768631725435;0,174563240300031;0,998932861296266
"Otu0068";65,2919242921783;0,143737218171479;1,15328590034989;0,124632771568499;0,900814282711825;0,998932861296266
"Otu0069";1,24056212252809;2,37627647703901;2,12862918873692;1,1163412066378;0,264276109508344;0,998932861296266
"Otu0070";0,806682769337216;2,51726457575194;2,96483559750121;0,849040188897325;0,395858929859331;0,998932861296266
"Otu0071";3,22754681869268;-1,61590959259143;2,01699531427217;-0,801146924416395;0,42304659344546;0,998932861296266
"Otu0073";8,59601230702951;1,97990753223054;2,13129066972892;0,92897114427023;0,352904040799357;0,998932861296266
"Otu0074";11,3616604211833;0,289979800866426;1,75029310118553;0,165674995045123;0,868412725141922;0,998932861296266
"Otu0075";8,28308162466027;-0,216192750080798;2,31156373256966;-0,0935266231402869;0,925485200179277;0,998932861296266
"Otu0076";13,174652579451;0,509904845533055;1,92483172353062;0,264908791402172;0,791079725661828;0,998932861296266
"Otu0077";43,918411395065;-0,183649670402799;1,5208360447946;-0,120755732369298;0,903884513886874;0,998932861296266
"Otu0078";2,12991621522131;-4,42306582927407;2,5774818742457;-1,71604148741821;0,0861544493570494;0,998932861296266
"Otu0079";3,62416260287496;-3,88966150337727;2,11711199982733;-1,83724881049964;0,0661731729778294;0,998932861296266
"Otu0080";2,74383346059817;-0,194647848684418;1,83167814268947;-0,106267495444704;0,915370120403819;0,998932861296266
"Otu0082";2,21064414138913;-2,93435070634631;2,03874706385673;-1,43929119917178;0,150068035307477;0,998932861296266
"Otu0083";13,1057899978601;0,302232367223976;1,99290806597446;0,15165394349297;0,879459884662467;0,998932861296266
"Otu0084";4,19753497321583;-0,00317861227148401;2,15585081389242;-0,00147441198203552;0,998823589869502;0,998932861296266
"Otu0085";6,96639039723032;-2,37324877873877;2,0985552528147;-1,13089649441235;0,25809865896736;0,998932861296266
"Otu0086";0,92887773288546;-1,40967688214744;2,54517252806458;-0,553862996163722;0,579672611285001;0,998932861296266
